Country,Year,AvgTemp,Country_CO2,Year_CO2,co2,co2_per_capita,total_ghg
Sudan,1997,28.612191666666668,Sudan,1997,5.023,0.195,90.28
Sudan,1999,28.553475,Sudan,1999,4.753,0.175,86.945
Senegal,1998,27.341000000000005,Senegal,1998,3.334,0.351,32.123
Uruguay,2008,18.59391666666667,Uruguay,2008,8.218,2.489,61.332
Thailand,2003,27.34661507936508,Thailand,2003,191.088,2.946,368.632
Bulgaria,2007,12.646902439024387,Bulgaria,2007,55.669,7.338,61.869
Bolivia,2004,12.761639344262294,Bolivia,2004,11.051,1.201,170.64
Turkmenistan,2004,16.26188888888889,Turkmenistan,2004,49.355,9.954,90.372
Laos,1982,24.397166666666664,Laos,1982,0.158,0.046,24.28
United Kingdom,1975,9.698042892156865,United Kingdom,1975,603.254,10.73,803.507
Iran,1993,15.02461772151899,Iran,1993,236.993,3.86,409.287
Belgium,1985,9.024011904761903,Belgium,1985,104.012,10.527,133.77
Israel,1976,18.99737962962963,Israel,1976,19.497,5.737,24.521
Egypt,2002,22.74810087719298,Egypt,2002,128.362,1.684,197.826
Italy,1998,13.576087301587302,Italy,1998,460.824,8.054,537.794
Bangladesh,1994,25.499543859649126,Bangladesh,1994,17.553,0.146,101.16
Cuba,1997,26.86047023809524,Cuba,1997,24.824,2.257,53.909
Chile,1983,12.738742857142855,Chile,1983,20.674,1.719,57.669
Algeria,1998,18.521683333333332,Algeria,1998,105.74,3.518,172.446
Guatemala,1993,19.85425,Guatemala,1993,5.572,0.57,67.758
Armenia,1996,9.546416666666667,Armenia,1996,2.5,0.763,5.636
Peru,1979,17.738768,Peru,1979,22.217,1.312,125.924
Sudan,1978,28.09654166666667,Sudan,1978,3.156,0.201,46.15
Senegal,2012,26.778739583333333,Senegal,2012,7.362,0.553,21.433
Serbia,1976,9.288638888888888,Serbia,1976,41.141,5.397,57.99
Chad,2007,28.009124999999997,Chad,2007,1.089,0.098,58.374
Ghana,1985,26.503129629629626,Ghana,1985,3.144,0.23,25.849
Bolivia,1977,11.806154929577465,Bolivia,1977,4.476,0.832,74.629
United Kingdom,2005,10.302862745098038,United Kingdom,2005,570.338,9.412,714.9
Morocco,2001,18.62934166666667,Morocco,2001,36.809,1.277,61.019
Japan,1987,14.173936190476189,Japan,1987,902.207,7.399,979.995
China,2007,15.60341440349177,China,2007,6974.663,5.261,8701.73
Spain,2012,15.490025,Spain,2012,277.432,5.901,326.7
Malaysia,1979,26.91122916666667,Malaysia,1979,27.306,2.162,184.162
Malaysia,2005,27.330718749999992,Malaysia,2005,169.978,6.579,296.443
Malaysia,2013,27.643078125000002,Malaysia,2013,241.671,8.009,512.12
Ecuador,1997,22.04542307692308,Ecuador,1997,19.461,1.618,93.902
Chile,1991,12.447607142857143,Chile,1991,30.892,2.261,55.638
Turkey,1990,13.60664579901153,Turkey,1990,154.572,2.759,233.442
Australia,2002,17.598946428571427,Australia,2002,362.425,18.495,700.182
Uganda,1976,24.162250000000004,Uganda,1976,0.985,0.082,38.268
Poland,2007,9.604195175438596,Poland,2007,335.735,8.83,409.996
Kazakhstan,1987,8.371109756097562,Kazakhstan,1987,256.685,15.531,388.906
Sweden,1990,7.620288461538461,Sweden,1990,57.417,6.709,63.328
Laos,1991,24.851916666666668,Laos,1991,0.546,0.123,27.716
Laos,2010,25.496916666666667,Laos,2010,3.001,0.474,69.682
Nigeria,2000,26.89983791208792,Nigeria,2000,96.831,0.766,561.807
Pakistan,2013,25.873196506550226,Pakistan,2013,148.183,0.702,371.964
Japan,2002,14.320706190476189,Japan,2002,1275.42,10.005,1320.563
Madagascar,1982,22.351069444444445,Madagascar,1982,1.013,0.106,69.762
Belgium,2004,10.757488095238093,Belgium,2004,128.812,12.36,153.557
Brazil,1982,22.381410003789295,Brazil,1982,171.439,1.351,1842.956
Italy,1975,12.951984031936128,Italy,1975,341.056,6.182,418.237
Italy,1981,12.646978174603172,Italy,1981,375.307,6.625,444.72
Colombia,1987,23.595,Colombia,1987,50.138,1.644,155.675
Haiti,1975,26.4868,Haiti,1975,0.483,0.095,6.338
Algeria,1993,18.444280701754384,Algeria,1993,81.306,2.981,153.619
Algeria,1997,19.090016666666667,Algeria,1997,87.517,2.959,157.481
Ireland,1997,10.423666666666668,Ireland,1997,38.805,10.567,68.312
Poland,1982,9.050849411764707,Poland,1982,420.978,11.618,612.051
Ukraine,2013,11.638044444444445,Ukraine,2013,297.54,6.45,413.975
Portugal,1976,14.68763095238095,Portugal,1976,22.326,2.398,38.624
Serbia,2006,10.449208333333335,Serbia,2006,53.721,7.152,48.668
Norway,2010,5.590055555555555,Norway,2010,45.659,9.339,62.985
Bulgaria,2012,11.89119512195122,Bulgaria,2012,48.277,6.598,61.776
Tunisia,1995,19.516216666666665,Tunisia,1995,16.623,1.815,27.295
Nigeria,1983,26.91219047619048,Nigeria,1983,59.622,0.741,278.658
Iran,1997,15.833323604060913,Iran,1997,269.263,4.231,425.313
Malaysia,1986,26.789203124999997,Malaysia,1986,40.102,2.544,351.274
Ecuador,1995,21.302814102564106,Ecuador,1995,23.534,2.03,83.241
Israel,1989,19.304990740740745,Israel,1989,31.394,7.165,37.285
Bangladesh,1985,25.70042105263158,Bangladesh,1985,10.189,0.102,88.702
Cameroon,2001,24.947383333333335,Cameroon,2001,5.562,0.363,62.2
Syria,2006,18.812607142857143,Syria,2006,54.04,2.752,81.597
Honduras,1979,24.484350000000003,Honduras,1979,1.923,0.532,26.13
Canada,1989,6.150394736842105,Canada,1989,462.889,16.915,802.299
Benin,1987,27.98704166666667,Benin,1987,0.474,0.098,11.185
Dominican Republic,1996,26.191101851851855,Dominican Republic,1996,16.459,2.049,26.163
Portugal,2006,16.079642857142854,Portugal,2006,64.856,6.163,73.882
Libya,2005,20.680425,Libya,2005,55.986,9.556,100.316
Uzbekistan,2004,13.9275,Uzbekistan,2004,129.099,4.96,173.659
Panama,1994,27.53258333333333,Panama,1994,4.136,1.549,19.7
Albania,1991,15.363583333333331,Albania,1991,4.29,1.307,10.52
Turkmenistan,1997,15.865666666666666,Turkmenistan,1997,31.196,7.193,52.812
Turkmenistan,2013,18.155291666666667,Turkmenistan,2013,64.34,10.833,98.09
Sweden,2013,9.073296296296297,Sweden,2013,45.106,4.698,64.433
Mexico,1985,20.056907216494853,Mexico,1985,287.181,3.827,490.711
France,1983,11.05637037037037,France,1983,426.039,7.762,596.847
Madagascar,1979,22.313319444444446,Madagascar,1979,1.13,0.129,73.641
Bangladesh,1998,25.709429824561404,Bangladesh,1998,23.216,0.179,119.708
Venezuela,1986,25.692968749999995,Venezuela,1986,109.32,6.099,210.632
Colombia,1995,23.22126282051282,Colombia,1995,59.35,1.658,233.069
South Africa,1985,17.116859999999996,South Africa,1985,323.865,9.242,440.369
Mozambique,1974,23.374819444444444,Mozambique,1974,3.146,0.341,37.504
Chile,2002,12.109660516605167,Chile,2002,54.836,3.458,98.891
Ireland,1996,9.322708333333333,Ireland,1996,37.469,10.298,66.669
Peru,2010,18.873793721973097,Peru,2010,42.505,1.461,131.759
Guinea,1988,26.011291666666665,Guinea,1988,1.026,0.169,18.923
Serbia,1995,10.186819444444444,Serbia,1995,39.047,4.991,49.881
Thailand,2013,28.52145238095239,Thailand,2013,263.754,3.776,451.94
Cambodia,2009,27.5365,Cambodia,2009,4.579,0.321,57.443
Chad,2005,28.418374999999997,Chad,2005,0.929,0.09,58.917
Albania,1977,16.038166666666665,Albania,1977,5.717,2.228,12.462
Albania,1988,15.988,Albania,1988,7.329,2.281,13.912
Indonesia,1995,26.590126436781595,Indonesia,1995,222.225,1.112,1252.83
Israel,2001,20.351268518518516,Israel,2001,63.024,10.068,71.595
Venezuela,1974,25.392781250000006,Venezuela,1974,75.058,5.848,151.105
Venezuela,1976,25.422487499999995,Venezuela,1976,57.278,4.21,144.325
Lebanon,2003,19.665666666666667,Lebanon,2003,18.529,4.094,21.406
Zambia,1997,21.54411458333333,Zambia,1997,2.354,0.255,63.392
Russia,1974,7.084498106060605,Russia,1974,1741.162,13.066,2640.646
Uganda,1996,24.285194444444446,Uganda,1996,1.018,0.048,33.759
Bulgaria,1982,11.211737500000002,Bulgaria,1982,89.844,10.08,118.522
Bulgaria,1990,12.047451219512194,Bulgaria,1990,76.638,8.687,101.645
Sweden,1974,7.369799999999999,Sweden,1974,79.823,9.781,85.113
China,1994,15.241416807943812,China,1994,3093.891,2.559,4901.601
Madagascar,2004,22.78648611111111,Madagascar,2004,1.804,0.097,85.387
Brazil,2007,23.040964001515732,Brazil,2007,390.573,2.071,2745.828
Lebanon,1989,19.14038888888889,Lebanon,1989,7.721,2.19,9.63
South Africa,1995,16.983026666666667,South Africa,1995,361.712,8.121,495.88
Vietnam,2001,25.375972222222224,Vietnam,2001,60.983,0.782,289.003
Mozambique,1995,24.321388888888887,Mozambique,1995,1.131,0.071,55.664
Cuba,1990,26.307535714285716,Cuba,1990,29.638,2.788,67.633
Algeria,1991,17.653883333333336,Algeria,1991,77.976,3.0,154.618
Argentina,1985,17.633895833333337,Argentina,1985,100.569,3.315,274.944
Argentina,1996,17.623324607329845,Argentina,1996,131.446,3.701,311.916
Latvia,2001,6.6256666666666675,Latvia,2001,7.497,3.206,6.975
Australia,1983,17.340773809523807,Australia,1983,207.645,13.47,574.036
Norway,1987,5.395909090909091,Norway,1987,33.207,7.931,45.716
Thailand,1998,28.044353174603177,Thailand,1998,159.704,2.596,326.572
Panama,1993,27.372833333333336,Panama,1993,3.749,1.434,15.914
Chad,1996,27.466208333333327,Chad,1996,0.443,0.06,44.916
Hong Kong,1998,22.476249999999997,Hong Kong,1998,38.925,5.969,43.725
Albania,2008,16.707583333333332,Albania,2008,4.448,1.486,10.527
United Kingdom,1981,9.051719362745095,United Kingdom,1981,560.547,9.956,756.353
Indonesia,1979,26.37377241379309,Indonesia,1979,95.123,0.654,787.06
China,2005,15.011428536821708,China,2005,5881.991,4.49,7551.543
Belgium,1976,10.602583333333332,Belgium,1976,129.681,13.289,158.212
Romania,1989,9.917642140468228,Romania,1989,212.97,9.305,268.486
Bangladesh,1977,25.32449561403509,Bangladesh,1977,5.785,0.071,74.461
Germany,1982,9.458776859504136,Germany,1982,1015.5,12.954,1243.83
Belarus,1990,8.143726315789472,Belarus,1990,108.459,10.648,163.561
Mozambique,1996,23.99493055555556,Mozambique,1996,1.092,0.066,61.662
Ireland,1981,9.311791666666666,Ireland,1981,26.062,7.557,56.806
Russia,1985,5.857586099585062,Russia,1985,2349.517,16.365,3330.7
Turkey,1996,13.764906095551899,Turkey,1996,203.098,3.278,274.507
Australia,1996,16.995476190476193,Australia,1996,311.851,17.036,677.191
Ukraine,1993,7.639648083623692,Ukraine,1993,510.495,9.752,669.811
Guinea,1999,25.954708333333333,Guinea,1999,1.385,0.168,33.413
Senegal,1985,26.096093750000005,Senegal,1985,2.651,0.397,11.593
Hong Kong,1990,22.157999999999998,Hong Kong,1990,27.148,4.882,31.19
Sweden,1994,6.063793103448277,Sweden,1994,59.997,6.833,70.737
Morocco,1994,18.013924999999997,Morocco,1994,28.124,1.082,57.488
Iran,1983,15.791193255512317,Iran,1983,150.028,3.259,258.721
France,2007,11.569236111111111,France,2007,396.461,6.35,457.941
United States,2001,15.260763132137027,United States,2001,5903.562,20.767,6976.344
Spain,1975,14.27772666666667,Spain,1975,181.054,5.058,226.098
Spain,1977,14.439258333333331,Spain,1977,194.829,5.33,240.757
Spain,2013,15.539954773869347,Spain,2013,252.109,5.38,302.976
Israel,2009,20.26465740740741,Israel,2009,63.861,8.862,72.303
Italy,2011,14.08598214285714,Italy,2011,423.897,7.022,476.084
Italy,2013,14.09509821428571,Italy,2013,369.461,6.091,412.456
Bangladesh,1979,25.958789473684202,Bangladesh,1979,6.613,0.077,83.024
Colombia,1976,22.796506410256416,Colombia,1976,37.983,1.592,191.074
Lebanon,2004,19.555305555555552,Lebanon,2004,17.208,3.742,20.319
Vietnam,1988,25.30114722222222,Vietnam,1988,23.073,0.367,124.001
Argentina,1988,17.07699738903394,Argentina,1988,121.464,3.822,292.444
Tanzania,1981,22.80836458333334,Tanzania,1981,2.107,0.106,90.62
Uganda,2009,25.030861111111115,Uganda,2009,2.996,0.095,54.148
Armenia,2006,9.8885,Armenia,2006,4.402,1.472,9.912
Peru,2004,18.657825531914895,Peru,2004,28.504,1.023,154.495
Poland,2004,8.639580219780221,Poland,2004,323.621,8.479,392.54
Norway,1976,3.994190476190476,Norway,1976,33.332,8.279,42.153
Norway,1980,4.94747619047619,Norway,1980,31.777,7.778,42.946
Thailand,1993,27.037226190476197,Thailand,1993,121.855,2.123,293.821
Togo,1990,27.267625,Togo,1990,0.978,0.244,7.627
Bolivia,1993,11.89057142857143,Bolivia,1993,11.562,1.525,96.772
Tunisia,1978,18.56706666666667,Tunisia,1978,7.603,1.205,16.12
Tunisia,1999,20.3355,Tunisia,1999,18.709,1.938,29.608
Laos,2001,24.76166666666667,Laos,2001,1.059,0.192,51.069
Nigeria,2004,27.381256410256412,Nigeria,2004,94.962,0.673,480.39
Pakistan,1992,24.12071287128713,Pakistan,1992,72.015,0.583,198.285
Japan,1977,13.857039178213082,Japan,1977,935.554,8.095,1030.354
Malaysia,1991,26.927833333333336,Malaysia,1991,65.785,3.586,232.16
Ecuador,2002,21.561724358974363,Ecuador,2002,24.861,1.892,62.31
Madagascar,1976,22.220819444444444,Madagascar,1976,0.992,0.124,93.446
New Zealand,1974,13.747289719626165,New Zealand,1974,18.76,6.169,116.77
Italy,1976,12.400265873015874,Italy,1976,365.799,6.596,440.635
Haiti,1995,27.203033333333334,Haiti,1995,0.876,0.116,12.006
Mozambique,1983,24.431055555555552,Mozambique,1983,1.954,0.162,43.293
Mozambique,1990,24.026298611111113,Mozambique,1990,1.025,0.078,47.289
Taiwan,1992,21.782744444444447,Taiwan,1992,142.432,6.788,157.755
Argentina,2001,18.01231299734748,Argentina,2001,135.004,3.588,319.058
Hungary,2006,10.720305555555555,Hungary,2006,59.529,5.923,74.487
Syria,2002,19.036345238095237,Syria,2002,40.727,2.331,68.103
Afghanistan,2007,15.822714285714287,Afghanistan,2007,2.8,0.108,20.244
Armenia,1999,10.10925,Armenia,1999,3.04,0.96,5.516
Djibouti,1991,29.61833333333334,Djibouti,1991,0.3,0.476,1.333
Ukraine,1986,8.241550522648085,Ukraine,1986,740.756,14.434,942.756
Ukraine,2006,8.675501742160279,Ukraine,2006,333.054,7.044,435.004
Sudan,1981,28.34919166666667,Sudan,1981,3.34,0.188,51.882
Uruguay,1988,17.418958333333332,Uruguay,1988,4.793,1.562,27.156
Uruguay,1990,17.971458333333334,Uruguay,1990,3.977,1.281,25.558
Bulgaria,1979,11.158607142857145,Bulgaria,1979,78.931,8.944,105.973
Turkmenistan,1988,15.51836111111111,Turkmenistan,1988,37.2,10.451,62.78
India,1994,25.828545396419415,India,1994,714.043,0.759,1675.792
Romania,1997,8.85944406779661,Romania,1997,118.115,5.27,148.491
Venezuela,2008,26.15387291666667,Venezuela,2008,155.758,5.552,278.716
Belarus,2001,7.400281250000002,Belarus,2001,54.105,5.444,87.376
Cuba,1998,26.614023809523808,Cuba,1998,24.309,2.203,55.099
Argentina,2009,17.919214659685863,Argentina,2009,178.378,4.366,540.889
Cameroon,1990,25.181311111111114,Cameroon,1990,2.605,0.23,56.757
Syria,1993,18.294238095238093,Syria,1993,45.522,3.3,82.947
Honduras,1982,24.471549999999997,Honduras,1982,1.749,0.442,25.994
Afghanistan,1985,15.427222222222223,Afghanistan,1985,3.501,0.306,16.834
Portugal,1991,15.330202380952382,Portugal,1991,46.879,4.702,63.886
Senegal,1993,26.486583333333332,Senegal,1993,3.286,0.391,18.794
Libya,1977,20.492000000000004,Libya,1977,20.198,7.01,93.833
Mexico,2005,20.903975085910652,Mexico,2005,463.436,4.38,692.625
Indonesia,1974,26.04545344827588,Indonesia,1974,51.225,0.398,721.586
Iran,2003,16.296392535392535,Iran,2003,410.967,5.976,588.296
United States,2003,15.069470280862191,United States,2003,6006.44,20.718,7245.448
United States,2005,15.250070799347473,United States,2005,6126.903,20.719,7428.8
Haiti,1978,26.802599999999998,Haiti,1978,0.75,0.139,7.506
Taiwan,1997,22.23505833333334,Taiwan,1997,190.782,8.717,207.114
Chile,1978,12.41518947368421,Chile,1978,22.842,2.044,65.126
Hungary,1995,10.397537037037038,Hungary,1995,61.464,5.954,77.343
Turkey,2008,14.80756923076923,Turkey,2008,312.628,4.369,382.37
Canada,1998,8.286803493449781,Canada,1998,529.615,17.462,882.794
Canada,2010,8.123086363636363,Canada,2010,554.307,16.209,796.322
Lithuania,1995,7.191799999999999,Lithuania,1995,15.057,4.151,27.582
Uzbekistan,2009,13.218770833333332,Uzbekistan,2009,109.23,3.91,157.819
Thailand,2002,27.52005158730159,Thailand,2002,184.665,2.873,355.795
Togo,2007,27.658374999999996,Togo,2007,1.517,0.245,10.051
Laos,2012,25.53375,Laos,2012,3.328,0.511,77.706
Iran,2000,16.320617424242425,Iran,2000,367.213,5.529,525.648
Japan,2011,14.147036684135305,Japan,2011,1261.181,9.846,1303.186
Spain,1984,14.29018,Spain,1984,197.708,5.144,247.636
India,2006,26.27570450181351,India,2006,1293.321,1.103,2324.594
Brazil,1986,22.638623484848484,Brazil,1986,197.183,1.425,2177.23
Egypt,1987,21.654469298245616,Egypt,1987,73.377,1.367,127.647
Italy,1992,13.495954365079363,Italy,1992,437.937,7.666,490.734
Bangladesh,1984,25.280434210526316,Bangladesh,1984,9.077,0.093,86.297
Venezuela,1991,25.837706250000004,Venezuela,1991,114.221,5.625,194.062
South Africa,1984,16.985998333333335,South Africa,1984,315.597,9.312,421.034
South Africa,2006,16.601523411371232,South Africa,2006,446.744,8.935,562.151
Vietnam,2012,25.80531666666667,Vietnam,2012,144.288,1.612,353.585
Mozambique,1991,24.07548611111111,Mozambique,1991,0.941,0.071,47.118
Algeria,2000,19.005883333333333,Algeria,2000,84.552,2.736,156.96
Algeria,2010,19.13365,Algeria,2010,117.847,3.257,184.522
Honduras,1974,23.95985,Honduras,1974,1.553,0.501,31.243
Australia,2001,17.55617261904762,Australia,2001,357.668,18.469,736.087
Canada,1976,5.397828193832599,Canada,1976,398.966,17.009,752.768
Greece,1988,16.660857142857143,Greece,1988,67.052,6.589,89.369
Benin,2006,27.936749999999996,Benin,2006,3.351,0.385,20.712
Benin,2008,27.592152777777777,Benin,2008,3.919,0.425,34.669
Norway,1986,5.276277777777777,Norway,1986,34.785,8.347,46.958
Kazakhstan,2004,11.274093333333331,Kazakhstan,2004,185.476,11.702,215.078
Ghana,2007,27.19437962962963,Ghana,2007,8.982,0.38,43.886
Tunisia,1975,18.595700000000004,Tunisia,1975,5.594,0.958,17.93
Tunisia,1984,18.61635,Tunisia,1984,12.193,1.689,21.57
Tunisia,1987,19.5303,Tunisia,1987,12.717,1.633,20.895
Sweden,1999,7.4880172413793105,Sweden,1999,55.937,6.315,66.956
Pakistan,1990,24.68234463276836,Pakistan,1990,67.827,0.584,182.571
Iran,1990,15.904970737913487,Iran,1990,211.075,3.616,370.772
Brazil,1993,22.727013257575752,Brazil,1993,244.306,1.558,2282.487
Germany,1995,9.488629399585923,Germany,1995,939.934,11.46,1123.859
Mozambique,2001,24.224999999999998,Mozambique,2001,1.554,0.084,84.124
Cameroon,2000,24.912977777777773,Cameroon,2000,5.589,0.375,66.961
Netherlands,1975,9.860756944444441,Netherlands,1975,152.529,11.15,208.455
Canada,1987,7.860630901287554,Canada,1987,430.982,16.238,778.645
Kazakhstan,1990,8.373319444444444,Kazakhstan,1990,267.405,15.588,402.639
Tunisia,2006,20.128633333333337,Tunisia,2006,22.915,2.215,36.316
Indonesia,1978,26.25904022988506,Indonesia,1978,93.928,0.662,781.549
Morocco,1984,17.283966666666668,Morocco,1984,17.645,0.817,42.247
Spain,2000,15.349911666666669,Spain,2000,309.26,7.539,361.474
Malaysia,1995,26.949927083333332,Malaysia,1995,109.595,5.391,276.036
India,2000,25.986626945214233,India,2000,987.065,0.933,2005.885
Egypt,2008,22.928394736842108,Egypt,2008,195.86,2.281,272.889
Germany,1981,8.658801652892565,Germany,1981,1048.362,13.364,1282.259
Belarus,1995,7.28096875,Belarus,1995,61.015,5.983,105.917
Cuba,2002,26.50544047619048,Cuba,2002,25.179,2.253,47.509
Latvia,2011,7.54313043478261,Latvia,2011,7.808,3.791,13.313
Benin,2011,27.810958333333335,Benin,2011,4.48,0.444,30.67
Uruguay,2001,18.747958333333333,Uruguay,2001,5.041,1.539,31.501
Thailand,2009,27.339365079365077,Thailand,2009,228.836,3.359,435.926
Bulgaria,1988,10.840309523809523,Bulgaria,1988,86.917,9.673,114.177
Albania,2009,16.730000000000004,Albania,2009,4.37,1.476,9.234
Sweden,1975,6.621346938775511,Sweden,1975,80.76,9.858,86.349
Ecuador,2006,21.40504487179487,Ecuador,2006,29.781,2.114,70.386
Tanzania,1987,23.4325625,Tanzania,1987,2.368,0.099,89.99
Turkey,1997,13.067473509933778,Turkey,1997,215.512,3.429,302.625
Turkey,2003,13.677800658978585,Turkey,2003,239.849,3.536,340.492
Peru,2007,17.713212244897957,Peru,2007,34.567,1.212,137.747
Greece,1982,16.189238095238093,Greece,1982,51.509,5.236,71.303
Lithuania,1979,5.792916666666668,Lithuania,1979,35.22,10.344,48.082
Dominican Republic,1993,26.275898148148144,Dominican Republic,1993,11.195,1.474,21.587
United Kingdom,2004,10.366041666666668,United Kingdom,2004,573.43,9.53,701.971
United States,1998,15.490134464751964,United States,1998,5736.36,20.775,6926.782
Spain,1976,14.320831666666663,Spain,1976,197.749,5.466,242.722
Madagascar,1996,22.636319444444446,Madagascar,1996,1.249,0.086,116.602
Brazil,2004,22.5470340909091,Brazil,2004,361.434,1.979,3313.758
Brazil,2011,22.624316666666672,Brazil,2011,461.911,2.365,2379.088
Israel,1981,19.425620370370368,Israel,1981,21.018,5.528,26.417
Belarus,1980,5.4227684210526315,Belarus,1980,97.226,10.124,157.83
Haiti,2002,27.342816666666668,Haiti,2002,1.778,0.207,11.641
Haiti,2010,27.1058,Haiti,2010,2.129,0.217,24.496
Tanzania,1998,23.378682291666667,Tanzania,1998,2.481,0.077,104.747
Poland,1986,8.12461374407583,Poland,1986,451.856,12.065,635.034
Guinea,2013,26.533812500000003,Guinea,2013,2.077,0.186,96.626
Albania,1995,15.670666666666667,Albania,1995,2.089,0.641,7.302
Iran,1976,14.963734693877548,Iran,1976,156.49,4.492,332.487
China,2003,15.126960721343869,China,2003,4835.251,3.735,6373.199
Philippines,2008,26.970194871794877,Philippines,2008,76.605,0.826,245.337
Madagascar,1997,22.837222222222223,Madagascar,1997,1.535,0.102,139.043
Israel,1982,18.77737962962963,Israel,1982,23.855,6.142,29.015
Israel,1996,19.840305555555556,Israel,1996,51.936,9.444,59.531
Egypt,2000,21.891008771929826,Egypt,2000,142.837,1.954,210.582
Zambia,1992,22.106770833333332,Zambia,1992,2.425,0.297,60.977
Algeria,1984,17.481416666666668,Algeria,1984,70.417,3.31,128.428
Argentina,1983,17.187707571801567,Argentina,1983,105.182,3.579,280.141
Latvia,1987,3.9467499999999993,Latvia,1987,19.294,7.347,27.753
Latvia,1997,6.228916666666667,Latvia,1997,8.68,3.567,8.188
Russia,1998,6.355089072543616,Russia,1998,1465.859,9.929,1948.111
Uganda,2011,24.72002777777778,Uganda,2011,3.828,0.115,55.012
Canada,1985,6.246668141592919,Canada,1985,421.726,16.266,747.777
Peru,1980,17.28680769230769,Peru,1980,24.065,1.386,122.964
Senegal,2003,26.643864583333336,Senegal,2003,4.928,0.46,15.419
Serbia,2012,11.318736111111109,Serbia,2012,43.764,5.975,39.118
Norway,1983,6.152521739130434,Norway,1983,31.947,7.739,43.606
Mexico,2013,21.62210080183276,Mexico,2013,495.412,4.186,707.327
India,1975,25.390909400980593,India,1975,234.21,0.383,1035.697
Romania,1977,9.606226351351353,Romania,1977,177.833,8.195,244.633
Colombia,1996,22.967032051282054,Colombia,1996,59.628,1.635,232.471
Russia,1995,7.51633744493392,Russia,1995,1618.286,10.913,2142.492
